id,cab_coords
20190611_1331_icab_icab_R_no_q1,""
20190611_1331_icab_icab_R_no_q2,""
20190611_1331_icab_icab_R_no_q3,""
20190611_1331_icab_icab_R_no_q4,""
20190611_1331_icab_icab_R_of_q1,""
20190611_1331_icab_icab_R_of_q2,""
20190611_1331_icab_icab_R_of_q3,""
20190611_1331_icab_icab_R_of_q4,""
20190611_1410_icab_kaga_R_no_q1,Top
20190611_1410_icab_kaga_R_no_q2,Bottom
20190611_1410_icab_kaga_R_no_q3,Top
20190611_1410_icab_kaga_R_no_q4,Left
20190611_1410_icab_kaga_R_of_q1,Right
20190611_1410_icab_kaga_R_of_q2,Left
20190611_1410_icab_kaga_R_of_q3,Top
20190611_1410_icab_kaga_R_of_q4,Right
20190611_1454_icab_hni_R_no_q1,Top
20190611_1454_icab_hni_R_no_q2,Bottom
20190611_1454_icab_hni_R_no_q3,Left
20190611_1454_icab_hni_R_no_q4,Right
20190611_1454_icab_hni_R_of_q1,Left
20190611_1454_icab_hni_R_of_q2,Top
20190611_1454_icab_hni_R_of_q3,Right
20190611_1454_icab_hni_R_of_q4,Left
20190611_1552_icab_hni_R_no_q1,Top
20190611_1552_icab_hni_R_no_q2,Left
20190611_1552_icab_hni_R_no_q3,Right
20190611_1552_icab_hni_R_no_q4,Left
20190611_1552_icab_hni_R_of_q1,Bottom
20190611_1552_icab_hni_R_of_q2,Left
20190611_1552_icab_hni_R_of_q3,Left
20190611_1552_icab_hni_R_of_q4,Left
20190611_1628_icab_hdr_R_no_q1,Right
20190611_1628_icab_hdr_R_no_q2,Right
20190611_1628_icab_hdr_R_no_q3,Bottom
20190611_1628_icab_hdr_R_no_q4,Right
20190611_1628_icab_hdr_R_of_q1,Top
20190611_1628_icab_hdr_R_of_q2,Top
20190611_1628_icab_hdr_R_of_q3,Bottom
20190611_1628_icab_hdr_R_of_q4,Right
20190611_1658_icab_ho5_R_no_q1,Right
20190611_1658_icab_ho5_R_no_q2,Left
20190611_1658_icab_ho5_R_no_q3,Top
20190611_1658_icab_ho5_R_no_q4,Top
20190611_1658_icab_ho5_R_of_q1,Top
20190611_1658_icab_ho5_R_of_q2,Top
20190611_1658_icab_ho5_R_of_q3,Top
20190611_1658_icab_ho5_R_of_q4,Top
20190612_0952_icab_icab_R_no_q1,""
20190612_0952_icab_icab_R_no_q2,""
20190612_0952_icab_icab_R_no_q3,""
20190612_0952_icab_icab_R_no_q4,""
20190612_0952_icab_icab_R_of_q1,""
20190612_0952_icab_icab_R_of_q2,""
20190612_0952_icab_icab_R_of_q3,""
20190612_0952_icab_icab_R_of_q4,""
20190612_1053_icab_kaga_R_no_q1,Bottom
20190612_1053_icab_kaga_R_no_q2,Top
20190612_1053_icab_kaga_R_no_q3,Right
20190612_1053_icab_kaga_R_no_q4,Right
20190612_1053_icab_kaga_R_of_q1,Top
20190612_1053_icab_kaga_R_of_q2,Left
20190612_1053_icab_kaga_R_of_q3,Right
20190612_1053_icab_kaga_R_of_q4,Right
20190612_1123_icab_hni_R_no_q1,Left
20190612_1123_icab_hni_R_no_q2,Top
20190612_1123_icab_hni_R_no_q3,Bottom
20190612_1123_icab_hni_R_no_q4,Left
20190612_1123_icab_hni_R_of_q1,Right
20190612_1123_icab_hni_R_of_q2,Right
20190612_1123_icab_hni_R_of_q3,Left
20190612_1123_icab_hni_R_of_q4,Left
20190612_1236_icab_kaga_R_no_q1,Right
20190612_1236_icab_kaga_R_no_q2,Left
20190612_1236_icab_kaga_R_no_q3,Top
20190612_1236_icab_kaga_R_no_q4,Right
20190612_1236_icab_kaga_R_of_q1,Top
20190612_1236_icab_kaga_R_of_q2,Left
20190612_1236_icab_kaga_R_of_q3,Left
20190612_1236_icab_kaga_R_of_q4,Bottom
20190612_1326_icab_kaga_R_no_q1,Top
20190612_1326_icab_kaga_R_no_q2,Top
20190612_1326_icab_kaga_R_no_q3,Right
20190612_1326_icab_kaga_R_no_q4,Left
20190612_1326_icab_kaga_R_of_q1,Right
20190612_1326_icab_kaga_R_of_q2,Left
20190612_1326_icab_kaga_R_of_q3,Bottom
20190612_1326_icab_kaga_R_of_q4,Bottom
20190612_1355_icab_ho5_R_no_q1,Top
20190612_1355_icab_ho5_R_no_q2,Bottom
