id,video,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top_of,adj_right_of,adj_top_no,adj_right_no,of_video_length,no_video_length,bgsub_of_q1,bgsub_of_q2,bgsub_of_q3,bgsub_of_q4,bgsub_no_q1,bgsub_no_q2,bgsub_no_q3,bgsub_no_q4,bgsub_mode_of_q1,bgsub_mode_of_q2,bgsub_mode_of_q3,bgsub_mode_of_q4,bgsub_mode_no_q1,bgsub_mode_no_q2,bgsub_mode_no_q3,bgsub_mode_no_q4,intensity_floor_of_q1,intensity_floor_of_q2,intensity_floor_of_q3,intensity_floor_of_q4,intensity_floor_no_q1,intensity_floor_no_q2,intensity_floor_no_q3,intensity_floor_no_q4,intensity_ceiling_of_q1,intensity_ceiling_of_q2,intensity_ceiling_of_q3,intensity_ceiling_of_q4,intensity_ceiling_no_q1,intensity_ceiling_no_q2,intensity_ceiling_no_q3,intensity_ceiling_no_q4,area_floor_of_q1,area_floor_of_q2,area_floor_of_q3,area_floor_of_q4,area_floor_no_q1,area_floor_no_q2,area_floor_no_q3,area_floor_no_q4,area_ceiling_of_q1,area_ceiling_of_q2,area_ceiling_of_q3,area_ceiling_of_q4,area_ceiling_no_q1,area_ceiling_no_q2,area_ceiling_no_q3,area_ceiling_no_q4,cab_coords_of_q1,cab_coords_of_q2,cab_coords_of_q3,cab_coords_of_q4,cab_coords_no_q1,cab_coords_no_q2,cab_coords_no_q3,cab_coords_no_q4,ref,test
20190611_1331_icab_icab_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190611_1331_icab_icab_R.avi,20190611,1331,R,1518,19518,20780,38780,30,-3,5,-3,5,18277,18566,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190611_1410_icab_kaga_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190611_1410_icab_kaga_R.avi,20190611,1410,R,2486,20486,22667,40667,30,-10,7,-4,10,19411,19642,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Left,Top,Right,Top,Bottom,Top,Left,icab,kaga
20190611_1454_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190611_1454_icab_hni_R.avi,20190611,1454,R,2916,20916,22476,40476,30,0,8,0,7,18883,18376,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,max,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,30,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Right,Left,Top,Bottom,Left,Right,icab,hni
20190611_1552_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190611_1552_icab_hni_R.avi,20190611,1552,R,2802,20802,22346,40346,30,2,7,2,7,18909,18479,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Left,Left,Left,Top,Left,Right,Left,icab,hni
20190611_1628_icab_hdr_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190611_1628_icab_hdr_R.avi,20190611,1628,R,2703,20703,22212,40212,30,0,7,-1,5,18856,18247,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Bottom,Right,Right,Right,Bottom,Right,icab,hdr
20190611_1658_icab_ho5_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190611_1658_icab_ho5_R.avi,20190611,1658,R,2491,20491,21530,39530,30,-5,0,-4,0,18575,18395,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Top,Top,Right,Left,Top,Top,icab,ho5
20190612_0952_icab_icab_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_0952_icab_icab_R.avi,20190612,952,R,2689,20689,23862,41862,30,-5,4,-5,4,20491,17889,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,icab,icab
20190612_1053_icab_kaga_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1053_icab_kaga_R.avi,20190612,1053,R,3172,21172,22379,40379,30,-4,5,-3,8,18680,18190,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Right,Right,Bottom,Top,Right,Right,icab,kaga
20190612_1123_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1123_icab_hni_R.avi,20190612,1123,R,2857,20857,21715,39715,30,-4,7,-4,7,18457,18276,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,Left,Left,Left,Top,Bottom,Left,icab,hni
20190612_1236_icab_kaga_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190612_1236_icab_kaga_R.avi,20190612,1236,R,2346,19950,20711,38711,30,-6,4,-6,1,17850,18379,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Bottom,Right,Left,Top,Right,icab,kaga
