id,area_ceiling,area_floor,bgsub,bgsub_mode,intensity_ceiling,intensity_floor,protocol3_action
20190611_1331_icab_icab_R_no_q1,1000,50,TRUE,median,15,0,abort
20190611_1331_icab_icab_R_no_q2,1000,50,TRUE,median,15,0,abort
20190611_1331_icab_icab_R_no_q3,1000,50,TRUE,median,15,0,abort
20190611_1331_icab_icab_R_no_q4,1000,50,TRUE,median,15,0,abort
20190611_1331_icab_icab_R_of_q1,1000,50,TRUE,median,15,0,abort
20190611_1331_icab_icab_R_of_q2,1000,50,TRUE,median,15,0,abort
20190611_1331_icab_icab_R_of_q3,1000,50,TRUE,median,15,0,abort
20190611_1331_icab_icab_R_of_q4,1000,50,TRUE,median,15,0,abort
20190611_1410_icab_kaga_R_no_q1,1000,50,TRUE,median,15,0,abort
20190611_1410_icab_kaga_R_no_q2,1000,50,TRUE,median,15,0,abort
20190611_1410_icab_kaga_R_no_q3,1000,50,TRUE,median,15,0,abort
20190611_1410_icab_kaga_R_no_q4,1000,50,TRUE,median,15,0,abort
20190611_1410_icab_kaga_R_of_q1,1000,50,TRUE,median,15,0,abort
20190611_1410_icab_kaga_R_of_q2,1000,50,TRUE,median,15,0,abort
20190611_1410_icab_kaga_R_of_q3,1000,50,TRUE,median,15,0,abort
20190611_1410_icab_kaga_R_of_q4,1000,10,TRUE,mean,40,0,abort
20190611_1454_icab_hni_R_no_q1,1000,50,TRUE,median,15,0,abort
20190611_1454_icab_hni_R_no_q2,1000,50,TRUE,median,15,0,abort
20190611_1454_icab_hni_R_no_q3,1000,50,TRUE,median,15,0,abort
20190611_1454_icab_hni_R_no_q4,1000,30,TRUE,max,15,0,abort
20190611_1454_icab_hni_R_of_q1,1000,50,TRUE,median,15,0,abort
20190611_1454_icab_hni_R_of_q2,1000,50,TRUE,median,15,0,abort
20190611_1454_icab_hni_R_of_q3,1000,50,TRUE,median,15,0,abort
20190611_1454_icab_hni_R_of_q4,1000,50,TRUE,median,15,0,abort
20190611_1552_icab_hni_R_no_q1,1000,50,TRUE,median,15,0,abort
20190611_1552_icab_hni_R_no_q2,1000,50,TRUE,median,15,0,abort
20190611_1552_icab_hni_R_no_q3,1000,50,TRUE,median,15,0,abort
20190611_1552_icab_hni_R_no_q4,1000,50,TRUE,median,15,0,abort
20190611_1552_icab_hni_R_of_q1,1000,50,TRUE,median,15,0,abort
20190611_1552_icab_hni_R_of_q2,1000,50,TRUE,median,15,0,abort
20190611_1552_icab_hni_R_of_q3,1000,50,TRUE,median,15,0,abort
20190611_1552_icab_hni_R_of_q4,1000,50,TRUE,median,15,0,abort
20190611_1628_icab_hdr_R_no_q1,1000,50,TRUE,median,15,0,abort
20190611_1628_icab_hdr_R_no_q2,1000,50,TRUE,median,15,0,abort
20190611_1628_icab_hdr_R_no_q3,1000,50,TRUE,median,15,0,abort
20190611_1628_icab_hdr_R_no_q4,1000,50,TRUE,median,15,0,abort
20190611_1628_icab_hdr_R_of_q1,1000,100,TRUE,median,15,0,abort
20190611_1628_icab_hdr_R_of_q2,1000,50,TRUE,median,15,0,abort
20190611_1628_icab_hdr_R_of_q3,1000,100,TRUE,mean,15,0,abort
20190611_1628_icab_hdr_R_of_q4,1000,50,TRUE,median,15,0,abort
20190611_1658_icab_ho5_R_no_q1,1000,50,TRUE,median,15,0,abort
20190611_1658_icab_ho5_R_no_q2,1000,50,TRUE,median,15,0,abort
20190611_1658_icab_ho5_R_no_q3,1000,50,TRUE,median,15,0,abort
20190611_1658_icab_ho5_R_no_q4,1000,50,TRUE,median,15,0,abort
20190611_1658_icab_ho5_R_of_q1,1000,50,TRUE,mean,20,0,abort
20190611_1658_icab_ho5_R_of_q2,1000,100,TRUE,median,15,0,abort
20190611_1658_icab_ho5_R_of_q3,1000,50,TRUE,median,15,0,abort
20190611_1658_icab_ho5_R_of_q4,1000,50,TRUE,mean,20,0,abort
20190612_0952_icab_icab_R_no_q1,1000,50,TRUE,median,15,0,abort
20190612_0952_icab_icab_R_no_q2,1000,50,TRUE,median,15,0,abort
20190612_0952_icab_icab_R_no_q3,1000,50,TRUE,median,15,0,abort
20190612_0952_icab_icab_R_no_q4,1000,50,TRUE,median,15,0,abort
20190612_0952_icab_icab_R_of_q1,1000,50,TRUE,median,15,0,abort
20190612_0952_icab_icab_R_of_q2,1000,50,TRUE,median,15,0,abort
20190612_0952_icab_icab_R_of_q3,1000,50,TRUE,median,15,0,abort
20190612_0952_icab_icab_R_of_q4,1000,50,TRUE,median,15,0,abort
20190612_1053_icab_kaga_R_no_q1,1000,50,TRUE,median,15,0,abort
20190612_1053_icab_kaga_R_no_q2,1000,50,TRUE,median,15,0,abort
20190612_1053_icab_kaga_R_no_q3,1000,50,TRUE,median,15,0,abort
20190612_1053_icab_kaga_R_no_q4,1000,50,TRUE,median,15,0,abort
20190612_1053_icab_kaga_R_of_q1,1000,50,TRUE,median,15,0,abort
20190612_1053_icab_kaga_R_of_q2,1000,50,TRUE,median,15,0,abort
20190612_1053_icab_kaga_R_of_q3,1000,50,TRUE,median,15,0,abort
20190612_1053_icab_kaga_R_of_q4,1000,50,TRUE,median,15,0,abort
20190612_1123_icab_hni_R_no_q1,1000,50,TRUE,median,15,0,abort
20190612_1123_icab_hni_R_no_q2,1000,50,TRUE,median,15,0,abort
20190612_1123_icab_hni_R_no_q3,1000,50,TRUE,median,15,0,abort
20190612_1123_icab_hni_R_no_q4,1000,50,TRUE,median,15,0,abort
