id,fps,version,estimated_accuracy,estimated_accuracy_after_interpolation,percentage_identified,estimated_accuracy_identified
20190611_1331_icab_icab_R_no_q1,30,5.2.10,0.9998826153304379,1.0,1.0,1.0
20190611_1331_icab_icab_R_no_q2,30,5.2.10,0.9999334641870987,1.0,0.9901111111111112,1.0
20190611_1331_icab_icab_R_no_q3,30,5.2.10,0.9990846276501506,1.0,0.9964166666666666,1.0
20190611_1331_icab_icab_R_no_q4,30,5.2.10,0.9992451142114239,1.0,0.9964722222222222,1.0
20190611_1331_icab_icab_R_of_q1,30,5.2.10,0.9999436683190627,1.0,1.0,1.0
20190611_1331_icab_icab_R_of_q2,30,5.2.10,0.9999428653049565,1.0,0.9997222222222222,1.0
20190611_1331_icab_icab_R_of_q3,30,5.2.10,1.0,1.0,0.9983333333333333,1.0
20190611_1331_icab_icab_R_of_q4,30,5.2.10,,,,
20190611_1410_icab_kaga_R_no_q1,30,5.2.10,1.0,1.0,0.9985277777777778,1.0
20190611_1410_icab_kaga_R_no_q2,30,5.2.10,1.0,1.0,1.0,1.0
20190611_1410_icab_kaga_R_no_q3,30,5.2.10,1.0,1.0,1.0,1.0
20190611_1410_icab_kaga_R_no_q4,30,5.2.10,1.0,1.0,0.9998888888888889,1.0
20190611_1410_icab_kaga_R_of_q1,30,5.2.10,0.9996029269952919,1.0,0.9949444444444444,1.0
20190611_1410_icab_kaga_R_of_q2,30,5.2.10,1.0,1.0,0.9795,1.0
20190611_1410_icab_kaga_R_of_q3,30,5.2.10,0.9989372413021591,1.0,0.9966111111111111,1.0
20190611_1410_icab_kaga_R_of_q4,30,5.2.10,0.9990297357456767,1.0,0.9736111111111111,1.0
20190611_1454_icab_hni_R_no_q1,30,5.2.10,1.0,1.0,1.0,1.0
20190611_1454_icab_hni_R_no_q2,30,5.2.10,1.0,1.0,1.0,1.0
20190611_1454_icab_hni_R_no_q3,30,5.2.10,1.0,1.0,0.9949444444444444,1.0
20190611_1454_icab_hni_R_no_q4,30,5.2.10,1.0,1.0,0.9998333333333334,1.0
20190611_1454_icab_hni_R_of_q1,30,5.2.10,1.0,1.0,0.9973055555555556,1.0
20190611_1454_icab_hni_R_of_q2,30,5.2.10,1.0,1.0,1.0,1.0
20190611_1454_icab_hni_R_of_q3,30,5.2.10,,,,
20190611_1454_icab_hni_R_of_q4,30,5.2.10,1.0,1.0,0.9979444444444444,1.0
20190611_1552_icab_hni_R_no_q1,30,5.2.10,0.9999436619718309,1.0,0.9994722222222222,1.0
20190611_1552_icab_hni_R_no_q2,30,5.2.10,,,,
20190611_1552_icab_hni_R_no_q3,30,5.2.10,1.0,1.0,1.0,1.0
20190611_1552_icab_hni_R_no_q4,30,5.2.10,1.0,1.0,1.0,1.0
20190611_1552_icab_hni_R_of_q1,30,5.2.10,1.0,1.0,0.9999722222222223,1.0
